code,name
1004313000,Lagonglong
1004314000,Laguindingan
1004315000,Libertad
1004316000,Lugait
1004317000,Magsaysay
1004318000,Manticao
1004319000,Medina
1004320000,Naawan
1004321000,Opol
1004322000,Salay
1004323000,Sugbongcogon
1004324000,Tagoloan
1004325000,Talisayan
1004326000,Villanueva
1030500000,City of Cagayan De Oro 
1030900000,City of Iligan
1102301000,Asuncion
1102303000,Carmen
1102305000,Kapalong
1102314000,New Corella
1102315000,City of Panabo
1102317000,Island Garden City of Samal
1102318000,Santo Tomas
1102319000,City of Tagum 
1102322000,Talaingod
1102323000,Braulio E. Dujali
1102324000,San Isidro
1102401000,Bansalan
1102403000,City of Digos 
1102404000,Hagonoy
1102406000,Kiblawan
1102407000,Magsaysay
1102408000,Malalag
1102410000,Matanao
1102411000,Padada
1102412000,Santa Cruz
1102414000,Sulop
1102501000,Baganga
1102502000,Banaybanay
1102503000,Boston
1102504000,Caraga
1102505000,Cateel
1102506000,Governor Generoso
1102507000,Lupon
1102508000,Manay
1102509000,City of Mati 
1102510000,San Isidro
1102511000,Tarragona
1108201000,Compostela
1108202000,Laak
1108203000,Mabini
1108204000,Maco
1108205000,Maragusan
1108206000,Mawab
1108207000,Monkayo
1108208000,Montevista
1108209000,Nabunturan 
1108210000,New Bataan
1108211000,Pantukan
1108601000,Don Marcelino
1108602000,Jose Abad Santos
1108603000,Malita 
1108604000,Santa Maria
1108605000,Sarangani
1130700000,City of Davao
1204701000,Alamada
1204702000,Carmen
1204703000,Kabacan
1204704000,City of Kidapawan 
1204705000,Libungan
1204706000,Magpet
1204707000,Makilala
1204708000,Matalam
1204709000,Midsayap
1204710000,M'Lang
1204711000,Pigkawayan
1204712000,Pikit
1204713000,President Roxas
1204714000,Tulunan
1204715000,Antipas
1204716000,Banisilan
1204717000,Aleosan
1204718000,Arakan
1206302000,Banga
1206306000,City of Koronadal 
1206311000,Norala
1206312000,Polomolok
1206313000,Surallah
1206314000,Tampakan
1206315000,Tantangan
1206316000,T'Boli
